ID from CIS Mail,"ID )سوا مر( from
Registration
Google Sheet",PROBLEM#1,,,,,PROBLEM#2,,,,TOTAL
,,STATUS,SAMPLE,COMPLETE,MARK,COMMENT,STATUS,SAMPLE,COMPLETE,MARK,(... / 12)
20201700048,20201700048,OK,100,100,8,,OK,100,100,4,12
20201701241,20201701241,COMPILE_ERR,0,0,0,,OK,100,100,4,4
20201700976,20201700977,OK,0,0,0,,OK,100,10,1.3,1.3
20201700769,20201700769,OK,0,0,0,,OK,100,100,4,4
20201701115,20201701115,OK,20,0,0.4,,OK,100,100,4,4.4
20201700840,20201700840,OK,80,100,7.6,,OK,100,100,4,11.6
20201700055,20201700055,OK,80,100,7.6,,OK,100,100,4,11.6
20201700830,20201700830,OK,80,100,7.6,,OK,100,100,4,11.6
20201700782,20201700782,OK,80,100,7.6,,OK,100,100,4,11.6
20191700704,20191700704,OK,100,100,8,,OK,100,0,1,9
20201700642,20201700642,TIME OUT,100,0,2,,OK,100,100,4,6
20201700361,20201700361,OK,100,100,8,,OK,100,100,4,12
20201700590,20201700590,OK,100,100,8,,OK,100,100,4,12
20201700761,20201700761,OK,100,100,8,,OK,100,100,4,12
20201700572,#N/A,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,COMPILE_ERR,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700096,20201700096,OK,100,100,8,,OK,100,100,4,12
20201700097,20201700097,TIME OUT,100,0,2,,OK,100,0,1,3
20201700150,20201700150,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700907,20201700908,COMPILE_ERR,0,0,0,,OK,100,100,4,4
20191700884,20191700884,OK,100,100,8,,OK,100,100,4,12
20201700946,20201701212,OK,100,100,8,,OK,100,100,4,12
20201700444,20201700444,OK,100,100,8,,OK,100,100,4,12
20201700001,20201700001,OK,100,90,7.4,,OK,100,100,4,11.4
20201700611,20201700611,OK,100,100,8,,OK,100,100,4,12
20201700940,20201700941,OK,100,100,8,,OK,100,100,4,12
20201700060,20201700060,OK,80,90,7,,OK,100,100,4,11
20201701615,20201701261,OK,0,0,0,,OK,100,100,4,4
20201700378,20201700378,OK,100,100,8,,OK,100,100,4,12
20201700758,20201700758,OK,100,100,8,,OK,100,100,4,12
20191700881,20191700881,OK,100,100,8,,OK,100,100,4,12
20201700415,20201700415,OK,100,100,8,,OK,100,100,4,12
20191700350,20191700350,NOT DELIVERED,,,,,OK,100,100,4,4
20201700129,20201700129,OK,100,100,8,,OK,100,100,4,12
20201700185,20201700185,OK,100,100,8,,OK,100,100,4,12
20201700169,20201700169,OK,100,100,8,,OK,100,100,4,12
20201700114,20201700114,PARTIAL D&C ALG (1/2 x MARK),0,0,0,"IM: Use BigInt
+, -, pad BaseCase 140,000!!!",OK,100,100,4,4
20201701133,20201701133,OK,100,100,8,,OK,80,100,3.8,11.8
20201700801,20201700801,OK,100,100,8,,OK,100,100,4,12
20201701156,20201700996,OK,100,100,8,,OK,100,100,4,12
20201700853,20201700853,OK,100,100,8,,OK,100,100,4,12
20191700367,20191700367,OK,80,100,7.6,,OK,100,100,4,11.6
20201700718,20201700718,OK,80,100,7.6,,OK,100,100,4,11.6
20201700111,20201700111,OK,80,100,7.6,,OK,100,100,4,11.6
20201701058,20201701058,OK,100,90,7.4,,OK,100,100,4,11.4
20201701025,20201701026,OK,80,0,1.6,,OK,100,100,4,5.6
20191700782,20191700782,OK,100,100,8,,OK,100,100,4,12
20201700963,#N/A,OK,100,100,8,,OK,100,100,4,12
20201701056,20201701056,OK,100,100,8,,OK,100,100,4,12
20201700116,20201700116,OK,100,100,8,,OK,100,100,4,12
20201700612,20201700612,OK,100,100,8,,OK,100,100,4,12
20201701250,20201701250,OK,100,100,8,,OK,100,100,4,12
20191700152,20191700152,OK,100,100,8,,OK,100,100,4,12
20201700968,20201700969,OK,80,100,7.6,,OK,100,100,4,11.6
20191700511,20191700511,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201701112,20201701112,OK,100,100,8,,OK,100,100,4,12
20201700245,20201700245,OK,100,100,8,,OK,100,100,4,12
20201700587,20201700587,OK,100,100,8,,OK,100,60,2.8,10.8
20201700123,20201700123,OK,100,100,8,,OK,100,100,4,12
20201700335,20201700335,OK,100,100,8,,OK,100,100,4,12
20191700861,20191700861,COMPILE_ERR,0,0,0,,COMPILE_ERR,0,0,0,0
20201700899,20201700901,OK,100,20,3.2,,OK,100,100,4,7.2
20201700722,20201700722,OK,80,100,7.6,,OK,100,100,4,11.6
20201700634,20201700634,OK,100,100,8,,OK,100,100,4,12
20201700593,20201700593,OK,80,60,5.2,,OK,100,100,4,9.2
20201700614,20201700614,OK,100,100,8,,OK,100,100,4,12
20201700405,20201700405,OK,100,100,8,,OK,100,100,4,12
20201700923,20201701149,OK,100,100,8,,OK,100,100,4,12
20201700543,20201700543,OK,80,100,7.6,,OK,100,100,4,11.6
20201701004,20201701005,OK,100,100,8,,OK,100,100,4,12
20201700648,20201700648,OK,80,100,7.6,,OK,100,100,4,11.6
20191700814,20191700814,OK,100,0,2,,OK,100,100,4,6
20201700107,20201700107,OK,100,100,8,,OK,100,100,4,12
20201700090,20201700090,NOT DELIVERED,,,,,OK,100,100,4,4
20191700692,20191700692,OK,100,90,7.4,,OK,100,100,4,11.4
20201700411,20201700411,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700808,20201700808,OK,0,0,0,,OK,100,100,4,4
20201700683,20201700683,OK,100,100,8,,OK,100,100,4,12
20201700827,20201700827,OK,100,100,8,,OK,100,100,4,12
20201700303,20201700303,OK,0,0,0,,OK,100,100,4,4
20201701064,20201701064,PARTIAL D&C ALG (1/2 x MARK),100,0,1,MM: N^3 D&C,OK,100,100,4,5
20201701247,20201701247,OK,100,100,8,,OK,100,100,4,12
20201701190,20201701190,OK,100,100,8,,OK,100,100,4,12
20201700354,20201700354,OK,80,100,7.6,,OK,100,100,4,11.6
20201700878,20201700879,OK,100,100,8,,OK,100,100,4,12
20201700897,20201700898,OK,100,0,2,,OK,100,100,4,6
20191700887,20191700887,PARTIAL D&C ALG (1/2 x MARK),0,0,0,"IM: Use BigInt
+, -, pad, split",OK,100,100,4,4
20201701151,20201700949,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700080,20201700080,OK,80,100,7.6,,OK,100,100,4,11.6
20201700180,20201700180,OK,0,0,0,,OK,100,100,4,4
20201700358,20201700358,OK,100,100,8,,OK,100,100,4,12
20201700436,20201700436,OK,0,0,0,,OK,100,100,4,4
20201701002,20201701003,COMPILE_ERR,0,0,0,,OK,100,100,4,4
20201700273,20201700273,OK,80,100,7.6,,OK,100,100,4,11.6
20201700778,20201700778,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700885,20201700886,OK,100,100,8,,OK,100,100,4,12
20201700868,20201701217,OK,80,100,7.6,,OK,100,100,4,11.6
15420191700313,#N/A,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700182,20201700182,COMPILE_ERR,0,0,0,,OK,100,100,4,4
20201700736,20201700736,OK,100,100,8,,OK,100,100,4,12
20201700732,20201700732,OK,100,100,8,,OK,100,100,4,12
20201700318,20201700318,OK,100,100,8,,OK,100,100,4,12
20201700795,20201700795,COMPILE_ERR,0,0,0,,OK,100,100,4,4
20201700922,20201701148,OK,100,100,8,,OK,100,100,4,12
20201700208,20201700208,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700075,20201700075,TIME OUT,100,0,2,,OK,100,100,4,6
20201700518,20201700518,OK,100,100,8,,OK,100,100,4,12
20201700558,20201700558,OK,100,100,8,,OK,100,100,4,12
20201700190,20201700190,OK,100,100,8,,OK,100,100,4,12
20201700837,20201700837,OK,100,100,8,,OK,100,100,4,12
20201700960,20201700961,COMPILE_ERR,0,0,0,,OK,100,100,4,4
20201701147,20201700910,OK,100,20,3.2,,OK,100,100,4,7.2
20201700260,01124590224,OK,100,100,8,,COMPILE_ERR,0,0,0,8
20191700894,20191700894,OK,100,100,8,,OK,100,100,4,12
20201700372,20201700372,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700425,20201700425,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201701030,20201701031,OK,100,100,8,,OK,100,100,4,12
20201700921,20201700922,OK,100,100,8,,OK,100,100,4,12
20201701253,20201701253,OK,80,100,7.6,,OK,100,100,4,11.6
20201700074,20201700074,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,COMPILE_ERR,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700790,20201700790,OK,100,0,2,,OK,100,100,4,6
20201700952,20201700953,OK,100,100,8,,OK,100,100,4,12
20201700915,20201700916,OK,100,100,8,,OK,100,100,4,12
20201700085,20201700085,OK,100,100,8,,OK,100,100,4,12
20201700739,20201700739,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
